PWSID,PWSName,FacilityID,FacilityName,FacilityWaterType,Contaminant,sample_events,detections,latest_date,max_result_ng_L,avg_detected_ng_L
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91812,Well 31-1,GW,PFOS,2,1,2024-01-25,5.3,5.3
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91812,Well 31-1,GW,PFPeA,2,0,2024-01-25,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91825,Zone 7 Intertie,SW,PFBA,4,0,2024-04-24,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91825,Zone 7 Intertie,SW,PFBS,4,0,2024-04-24,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91825,Zone 7 Intertie,SW,PFHxS,4,0,2024-04-24,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91825,Zone 7 Intertie,SW,PFOA,4,0,2024-04-24,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91825,Zone 7 Intertie,SW,PFOS,4,0,2024-04-24,,
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,91825,Zone 7 Intertie,SW,PFPeA,4,0,2024-04-24,,
CA0110008,CITY OF PLEASANTON,91804,Well 5,GW,PFBA,2,2,2025-02-05,5.3,5.3
CA0110008,CITY OF PLEASANTON,91804,Well 5,GW,PFBS,2,4,2025-02-05,5.8,4.85
CA0110008,CITY OF PLEASANTON,91804,Well 5,GW,PFHxS,2,4,2025-02-05,8.7,7.75
CA0110008,CITY OF PLEASANTON,91804,Well 5,GW,PFOA,2,4,2025-02-05,5.1,4.95
CA0110008,CITY OF PLEASANTON,91804,Well 5,GW,PFOS,2,4,2025-02-05,15.0,14.0
CA0110008,CITY OF PLEASANTON,91804,Well 5,GW,PFPeA,2,2,2025-02-05,4.1,4.1
CA0110008,CITY OF PLEASANTON,91803,Well 6,GW,PFBA,2,4,2025-02-05,6.3,6.15
CA0110008,CITY OF PLEASANTON,91803,Well 6,GW,PFBS,2,4,2025-02-05,6.1,5.85
CA0110008,CITY OF PLEASANTON,91803,Well 6,GW,PFHxS,2,4,2025-02-05,22.0,20.0
CA0110008,CITY OF PLEASANTON,91803,Well 6,GW,PFOA,2,4,2025-02-05,4.2,4.1
CA0110008,CITY OF PLEASANTON,91803,Well 6,GW,PFOS,2,4,2025-02-05,26.0,24.0
CA0110008,CITY OF PLEASANTON,91803,Well 6,GW,PFPeA,2,2,2025-02-05,3.2,3.2
CA0110008,CITY OF PLEASANTON,00005,Zone 7 Intertie,SW,PFBA,4,0,2025-05-15,,
CA0110008,CITY OF PLEASANTON,00005,Zone 7 Intertie,SW,PFBS,4,0,2025-05-15,,
CA0110008,CITY OF PLEASANTON,00005,Zone 7 Intertie,SW,PFHxS,4,2,2025-05-15,6.5,6.5
CA0110008,CITY OF PLEASANTON,00005,Zone 7 Intertie,SW,PFOA,4,0,2025-05-15,,
CA0110008,CITY OF PLEASANTON,00005,Zone 7 Intertie,SW,PFOS,4,2,2025-05-15,8.0,8.0
CA0110008,CITY OF PLEASANTON,00005,Zone 7 Intertie,SW,PFPeA,4,0,2025-05-15,,
HI0000151,KOHALA RANCH WATER CO.,001,Reservoir 3 Booster,GW,PFBA,1,0,2025-05-05,,
HI0000151,KOHALA RANCH WATER CO.,001,Reservoir 3 Booster,GW,PFBS,1,0,2025-05-05,,
HI0000151,KOHALA RANCH WATER CO.,001,Reservoir 3 Booster,GW,PFHxS,1,0,2025-05-05,,
HI0000151,KOHALA RANCH WATER CO.,001,Reservoir 3 Booster,GW,PFOA,1,0,2025-05-05,,
HI0000151,KOHALA RANCH WATER CO.,001,Reservoir 3 Booster,GW,PFOS,1,0,2025-05-05,,
HI0000151,KOHALA RANCH WATER CO.,001,Reservoir 3 Booster,GW,PFPeA,1,0,2025-05-05,,
